patch1-Math-85-3sfix,Math,85,Incorrect
patch9-Math-85-3sfix,Math,85,Incorrect
patch3-Math-82-3sfix,Math,82,Correct
patch5-Math-85-3sfix,Math,85,Incorrect
patch1-Math-80-3sfix,Math,80,Correct
patch13-Math-85-3sfix,Math,85,Incorrect
patch3-Math-85-3sfix,Math,85,Incorrect
patch1-Math-63-3sfix,Math,63,Incorrect
patch14-Math-85-3sfix,Math,85,Incorrect
patch4-Math-85-3sfix,Math,85,Incorrect
patch1-Math-58-3sfix,Math,58,Incorrect
patch2-Math-85-3sfix,Math,85,Incorrect
patch15-Math-85-3sfix,Math,85,Incorrect
patch8-Math-85-3sfix,Math,85,Incorrect
patch7-Math-85-3sfix,Math,85,Incorrect
patch1-Math-59-3sfix,Math,59,Correct
patch6-Math-85-3sfix,Math,85,Incorrect
patch12-Math-85-3sfix,Math,85,Incorrect
patch1-Math-82-3sfix,Math,82,Correct
patch1-Math-5-3sfix,Math,5,Correct
patch11-Math-85-3sfix,Math,85,Incorrect
patch10-Math-85-3sfix,Math,85,Incorrect
patch1-Math-30-3sfix,Math,30,Incorrect
patch2-Math-82-3sfix,Math,82,Correct
patch17-Math-85-3sfix,Math,85,Incorrect
patch16-Math-85-3sfix,Math,85,Incorrect
patch3-Chart-1-3sfix,Chart,1,Correct
patch4-Chart-1-3sfix,Chart,1,Correct
patch1-Chart-1-3sfix,Chart,1,Correct
patch2-Chart-1-3sfix,Chart,1,Correct
patch1-Lang-59-3sfix,Lang,59,Correct
patch1-Lang-6-3sfix,Lang,6,Incorrect
patch2-Lang-6-3sfix,Lang,6,Incorrect
